MUTTER,"Frau mit Kindern"
KONZEPTKUNST,"Ideenkunst Gedankenwerk"
PERFORMANCE,"Aktionskunst Ereignis"
VIDEOKUNST,"Bildschirmkunst Medienkunst"
KUNSTKRITIK,"Werkbewertung Analyse"
AUSSTELLUNG,"Schausammlung Präsentation"
KÜNSTLER,"Schöpfer Gestalter"
KUNSTHANDWERK,"Handgefertigtes Designobjekt"
KUNSTHÄNDLER,"Verkäufer Vermittler"
SAMMLER,"Kunstverehrer Enthusiast"
MUSE,"Inspirationsquelle Göttin"
ATELIER,"Künstlerwerkstatt Arbeitsraum"
STAFFELEI,"Malgestell Halterung"
PINSEL,"Maltool Bürste"
PALETTE,"Farbmischung Farbtafel"
LEINWAND,"Malgrund Textil"
RAHMEN,"Bildumrandung Einfassung"
GALERIE,"Kunstausstellung Kunsthandlung"
KUNSTMUSEUM,"Ausstellungshaus Sammlung"
KUNSTMARKT,"Handelszirkulation Verkaufssystem"
KÜNSTLERNAME,"Pseudonym Pseudonym"
KUNSTGENRE,"Kunstgattung Stilkategorie"
KUNSTFÄLSCHUNG,"Betrug Nachahmung"
KUNSTHANDEL,"Geschäftswesen Verkauf"
KÜNSTLERGRUPPE,"Künstlervereinigung Kollegium"
KUNSTSAMLUNG,"Privatsammlung Kollektion"
KUNSTSCHULE,"Ausbildungsstätte Institution"
KUNSTTHEORIE,"Kunstdiskurs Lehre"
KUNSTGESCHICHTE,"Entwicklungsverlauf Wissenschaft"
KUNSTLIEBHABER,"Kunstfreund Enthusiast"
KUNSTGEIST,"Kreativität Inspiration"
KUNSTSTROM,"Stilrichtung Bewegung"
KUNSTBEWEGUNG,"Stilgruppe Periode"
KUNSTBLATT,"Zeitschrift Publikation"
KUNSTAUSSTELLUNG,"Schau Präsentation"
KUNSTFESTIVAL,"Veranstaltung Festspiele"
KUNSTBIENNALE,"Zweijahresschau Ausstellung"
KUNSTPREIS,"Ehrung Auszeichnung"
KUNSTKERAMIK,"Töpferkunst Gefäß"
KUNSTHANDWERKERIN,"Schöpferin Gestalterin"
KUNSTHISTORIKER,"Forscher Wissenschaftler"
KUNSTKURS,"Unterricht Bildung"
KUNSTKAMMER,"Sammlung Schatzkammer"
KÜNSTLERHAUS,"Wohnort Atelier"
KÜNSTLERKNEIPE,"Treffpunkt Lokal"
SOFA,"Großes Sitzmöbel"
TOR,"Eingang zum Haus"
REGALE,"Bretter zum Abstellen"
VORHANG,"Stoff vor dem Fenster"
KISSEN,"Kopfstütze zum Schlafen"
TEPICH,"Bodenbelag aus Fasern"
FLUR,"Verbindungsraum zwischen Zimmer"
TREPPE,"Stufen zum Hochgehen"
BODENFLAECHE,"Unterste Zimmergrenze"
KUECHE,"Raum zum Essenzubereitung"
WOHNZIMMER,"Raum zum Zusammensein"
BADEZIMMER,"Raum mit Toilette"
BALKON,"Offene Plattform am Haus"
TERRASSE,"Offene Plattform am Boden"
VERANDA,"Offener Vorbau"
HAENDLER,"Verkäufer von Möbeln"
KAMIN,"Feuerplatz zum Wärmen"
VENTILATOR,"Luftbewegungsinstrument"
KLIMAANLAGE,"Temperaturregelung elektronisch"
SCHALTER,"Bedienung für Strom"
STECKER,"Verbindung zur Stromquelle"
LEITUNG,"Stromtransport in Wänden"
LEUCHTER,"Halter für Kerzen"
KRONLEUCHTER,"Großer Kerzenhalter"
PENDELLEUCHTE,"Hängende Lampe"
WANDLEUCHTE,"An Wand befestigte Lampe"
DECKENLEUCHTE,"Lampe oben angebracht"
NACHTLICHT,"Schwache nächtliche Beleuchtung"
WAERMER,"Geraet zur Heizung"
KOCHER,"Geraet zum Erhitzen"
HERD,"Koechgerät mit mehreren Platten"
MIKROWELLE,"Schnelles Erhitzungsgeraet"
KUEHLER,"Kaltspeichegeraet"
SPEISEKAMMER,"Lagerraum fuer Lebensmittel"
SCHRANK,"Geschlossenes Möbel zum Lagern"
KOMMODE,"Möbel mit Schubladen"
SEKRETAER,"Schreibmöbel mit Stauraum"
VITRINE,"Glasschrank zur Ausstellung"
HIGHBOARD,"Hohes Möbel zum Stauen"
SIDEBOARD,"Buffetmöbel niedrig"
REGAL,"Offenes Lagermoebel"
BUECHERREGAL,"Moebel fuer Literatur"
HAENGESCHRANK,"An Wand befestigtes Möbel"
UNTERSCHRANK,"Niedriges Möbel unter Oeffnung"
ECKSCHRANK,"Moebel fuer Ecke"
KLEIDERSCHRANK,"Moebel fuer Kleidung"
GARDEROBE,"Aufhaenger fuer Maentel"
KLEIDERSTAENDER,"Gestell zum Aufhaengen"
SCHUHSCHRANK,"Moebel fuer Schuhe"
WANDREGAL,"An Wand angebrachtes Moebel"
HUT,"Kopfbedeckung zum Tragen"
SITZBANK,"Langmoebel zum Sitzen"
FAUTEUIL,"Komfortabler Sessel"
SESSEL,"Groesser Einzelstuhl"
HOCKER,"Niedriger Sitzgegenstand"
POUF,"Rundes Sitzkissen"
OTTOMAN,"Fussabstellmoebel"
SCHEMEL,"Erhoehung fuer Fuesse"
TABORET,"Niedriges Stuetzmoebel"
CHAISE,"Liegemoebel mit Lehne"
DAYBED,"Tagesliege zum Ausruhen"
FUTON,"Japanische Schlafunterlage"
BOXSPRINGBETT,"Modernes Federmoebel"
ETAGENBETT,"Uebereinander gestapelte Betten"
GAESTEBED,"Klappbett fuer Besucher"
LAUFGITTER,"Schutzbereich fuer Kinder"
HOCHSTUHL,"Erhoehter Stuhl fuer Babys"
WICKELTISCH,"Moebel zum Wickeln"
SCHAUKELPFERD,"Spielzeug zum Wiegen"
PUPPENBETT,"Moebel fuer Puppe"
SPIELZEUGTRUHE,"Behaelter fuer Spielsachen"
BASTELECKE,"Platz zum Werkeln"
MALEREISTAENDER,"Gestell fuer Kunstwerke"
TROCKNUNGSSTAENDER,"Haenger zum Trocknen"
WAESCHESTAENDER,"Gestell zum Aufhaengen"
BUEGELBRETT,"Flache zum Buegeln"
WIFI,"Drahtloses Netz"
SPAM,"Unerwuenschte Post"
SEITE,"Webadresse Inhalt"
LAPTOP,"Tragbarer Computer"
TABLET,"Flacher mobiler PC"
SMARTPHONE,"Intelligentes Handy"
KAMERA,"Fotografiegeraet"
BILDSCHIRM,"Monitor Anzeige"
PROZESSOR,"Rechner Kern"
DRUCKER,"Papier ausgeben"
SCANNER,"Dokument digitalisieren"
INTERNET,"Weltweites Netzwerk"
SIGNAL,"Funksignal Staerke"
SENDER,"Radiostation"
HOERER,"Kopfhoerer Teil"
MIKROFON,"Sprache aufnehmen"
LAUTSPRECHER,"Ton wiedergeben"
SOUND,"Audioeffekt Geraeusch"
AKKU,"Batterie aufladen"
ANTENNE,"Empfangsgeraet Teil"
GENERATOR,"Strom erzeugen"
TRANSFORMER,"Spannung umwandeln"
SICHERUNG,"Stromschutz Element"
DRAHT,"Metallverbindung"
SCHRAUBENZIEHER,"Werkzeug fuer Schraube"
SAEGE,"Trennen schneiden"
FEILE,"Oberflaeche glaetten"
SCHLEIFER,"Polierwerkzeug elektrisch"
BOLZEN,"Lange Schraube"
UNTERLEGSCHEIBE,"Schraube verteilen"
KLEBER,"Verbindungsmasse"
LOETKOLBEN,"Elektronik verbinden"
LOTZINN,"Waermeleitung Material"
SICHERHEITSBRILLEN,"Schutz Augen"
MASSSTAB,"Laenge messen"
ZIRKEL,"Kreis zeichnen"
WINKELMESSER,"Winkel bestimmen"
WASSERWAAGE,"Horizontal pruefen"
BLEISTIFT,"Zeichnen schreiben"
RADIERGUMMI,"Fehler entfernen"
NOTIZBLOCK,"Schreib Unterlage"
KUGELSCHREIBER,"Tinten Schreibzeug"
MARKER,"Dickschreiber farbig"
TINTE,"Schreibflussigkeit"
PAPIERTUCH,"Einweg Serviette"
HAFTNOTIZ,"Klebezettel gelb"
ORDNER,"Dokumentensammlung organisiert"
AKTENORDNER,"Ablage System"
HEFTER,"Locher Befestigung"
HEFTKLAMMER,"Papier Verbindung"
LOCHER,"Loch machen Papier"
SCHERE,"Schneid Werkzeug"
KLEBBAND,"Rolle Verschluss"
LOCHSTREIFEN,"Perforation Papier"
DURCHSCHLAG,"Kopie Beleg"
KUVERT,"Briefumhuellung Post"
BRIEFKASTEN,"Post Sammlung"
BRIEFMARKE,"Porto Gebuehr"
ADRESSSCHILD,"Namens Beschriftung"
VERSAND,"Verpackung verschicken"
EMPFAENGER,"Post Zielort"
ABSENDER,"Ursprungs Angabe"
GEWICHT,"Masse Messung"
OPA,"Vaters Vater"
ENKEL,"Sohn der Tochter"
MAMA,"Mutter umgangssprachlich"
PAPA,"Vater umgangssprachlich"
NEFFE,"Sohn des Geschwisters"
NICHTE,"Tochter des Geschwisters"
EHEGATTIN,"Verheiratete Frau"
VERLOBTE,"Zukunftige Ehefrau"
VERLOBTER,"Zukunftiger Ehemann"
URGROESSVATER,"Grossvater des Grossvaters"
URGROSSMUTTER,"Grossmutter der Grossmutter"
SCHWIEGERMUTTER,"Mutter des Ehegatten"
SCHWIEGERVATER,"Vater des Ehegatten"
SCHWIEGERSOHN,"Mann der Tochter"
SCHWIEGERTOCHTER,"Frau des Sohnes"
SCHWAGERSCHAFT,"Verwandtschaft durch Eheschließung"
STIEFSOHN,"Sohn des neuen Partners"
STIEFTOCHTER,"Tochter des neuen Partners"
ADOPTIVKIND,"Angenommenes Kind"
ADOPTIVVATER,"Angenommener Vater"
ADOPTIVSOHN,"Angenommener Sohn"
ADOPTIVSCHWESTER,"Angenommene Schwester"
ADOPTIVBRUDER,"Angenommener Bruder"
PATCHWORK,"Familie aus verschiedenen Kindern"
STAMBAUM,"Diagramm der Abstammung"
ABSTAMMUNG,"Herkunft von Ahnen"
AHNE,"Frueherer Vorfahr"
NACHKOMME,"Kind und Enkel zusammen"
LINIE,"Verwandtschaftsreihe"
HAUSHALT,"Familie und Wohnung zusammen"
FAMILIENNAME,"Nachname der Familie"
VORNAME,"Name vor dem Familiennamen"
RUFNAME,"Name im alltaeglichen Gebrauch"
INTIMLEBEN,"Sexuelle Beziehung"
PARTNERSCHAFT,"Beziehung zweier Menschen"
ANGEHOERIGER,"Familienmitglied"
HEIRAT,"Eheschließung feierlich"
VERLOBUNG,"Praefiguration der Hochzeit"
HOCHZEITSMAHL,"Feier nach der Trauung"
POLTERABEND,"Fest vor der Hochzeit"
JUNGGESELLENABSCHIED,"Letzter freier Abend"
EHESTAND,"Verheirateter Zustand"
LEDIGKEIT,"Unverheiratet sein"
PARTNERINNEN,"Frauen in einer Beziehung"
PARTNER,"Person in einer Beziehung"
LIEBESPAAR,"Zwei verliebte Personen"
VERHAELTNIS,"Geheime romantische Beziehung"
FREUNDIN,"Weibliche nahestehende Person"
FREUND,"Maennliche nahestehende Person"
KAMERADSCHAFT,"Tiefe freundschaftliche Bindung"
ZAERTLICHKEIT,"Sanfte Liebkosung"
UMARMUNG,"Haltung der Zuwendung"
KUESSCHEN,"Kleine Mundbegruessung"
HAENDCHEN,"Haltung beim Spaziergang"
SCHMUSEN,"Liebkosung ohne Worte"
LEIDENSCHAFT,"Intensive emotionale Erregung"
HEIMATGEFUEHL,"Sehnsucht nach Familie"
BLUTSVERWANDTER,"Verwandter gleicher Abstammung"
ANGEHEIRATETER,"Verwandter durch Eheschließung"
MUTTERLIEBE,"Zuneigung der Mutter"
VATERLIEBE,"Zuneigung des Vaters"
GESCHWISTERLIEBE,"Zuneigung zwischen Brueder und Schwestern"
FAMILIENLIEBE,"Gefuehl zu Blutsverwandten"
FAMILIENSINN,"Bewusstsein fuer Familie"
FAMILIENTRADITIONEN,"Gewoehnte Verfahrensweisen der Familie"
MITGIFT,"Vermogen bei der Heirat"
ERBE,"Vermachtnis nach dem Tode"
TESTAMENT,"Letzter Wille schriftlich"
ERBSCHAFT,"Vermoegen vom Verstorbenen"
TRAUER,"Gefuehl nach Todestall"
TRAUERZEIT,"Periode nach Todesfall"
BEERDIGUNG,"Bestattung des Verstorbenen"
TOTENBAHRE,"Tragewerkzeug beim Begrabnis"
GRABSTEIN,"Denkmal auf dem Grab"
GRABREDE,"Ansprache beim Begraebnis"
VERMISSTHEIT,"Fehlen einer Person in der Familie"
FAMILIENZUSAMMENHANG,"Zusammenhalt der Glieder"
FAMILIENRAT,"Zusammenkunft zur Beratung"
ELTERNOBACHT,"Betreuungsanstalt fuer Verwandte"
KINDSEIN,"Status des Kindes"
KINDERLOSIGKEIT,"Fehlen von Nachkommenschaft"
VIELEHE,"Mehrere Partner nacheinander"
ALTWEIBERSOMMER,"Herbstliche romantische Zeit"
DIELE,"Flur beim Eingang"
RAUM,"Abgegrenzter Bereich im Haus"
SITZ,"Platz auf einem Möbelstück"
SPUELE,"Becken zum Abwaschen"
WASCHBECKEN,"Behälter mit Wasserhahn zum Waschen"
TOILETTE,"Abortanlage im Bad"
POSTER,"Großes Papier an der Wand"
FLUEGEL,"Teil eines Fensters oder einer Tür"
GRIFF,"Anfasser an Türen oder Möbeln"
KLAMMER,"Vorrichtung zum Befestigen"
SCHRAUBEN,"Drehelemente zum Verbinden"
DÜBEL,"Kunststoff im Loch für Befestigung"
STUFEN,"Teile einer Treppe"
AUFZUG,"Fahrstuhl im Haus"
KAELTEMASCHINE,"Gerät zum Kühlen"
STECKDOSE,"Anschluss für Elektrogeräte"
KLINGEL,"Signalgeber beim Eingang"
KETTE,"Befestigung für Tiere oder Dinge"
VORHANGSTANGE,"Halter für Gardinen"
BILDERLEISTE,"Leiste zum Aufhängen von Bildern"
KORB,"Behälter aus Flechtwerk"
TRUHE,"Großer Behälter mit Deckel"
ANRICHTE,"Möbel mit Fächern in der Küche"
BUFFET,"Möbel zum Servieren und Lagern"
GESCHIRRSCHRANK,"Behältnis für Eßwaren"
SPEISEZIMMER,"Raum zum Essen"
TOILETTENZIMMER,"Raum mit Abortanlage"
DACHBODEN,"Oberstes Geschoß unter dem Dach"
MANSARDE,"Zimmer unterm Dach"
ERKER,"Vorsprung an der Fassade"
NISCHE,"Kleine Vertiefung in der Wand"
ECKE,"Winkel zwischen zwei Wänden"
WANDECK,"Zusammenkunftspunkt von Wänden"
BACKSTEINWAND,"Bau aus Tonziegeln"
MOERTEL,"Bindemittel für Ziegelbau"
ASBEST,"Hitzebestaendiges Fasermaterial"
KALKPUTZ,"Verputzmaterial"
ZEMENT,"Graues Bindemittel"
STAHLTRAEGER,"Eiserne Stuetze"
HOLZBALKEN,"Tragende Konstruktionsstück"
DACHZIEGEL,"Deckungsmaterial für Dächer"
DACHPAPPE,"Wasserundurchlässiger Dachbelag"
WELLBLECH,"Gewelltes Metall"
BLEI,"Schweres Metall"
KUPFER,"Rötliches Metall"
ALUMINIUM,"Leichtes Silbermetall"
EDELSTAHL,"Rostfreies Eisen"
EISENWARENHANDLUNG,"Geschaeft fuer Baumaterial"
BAUMARKT,"Laden fuer Hausinventar"
MOEBELHALLE,"Grosses Geschaeft fuer Sitzmoebel"
EINRICHTUNGSHAUS,"Geschaeft mit allem fuer Haus"
ANTIQUITAETSHANDLUNG,"Laden fuer altes Mobiliar"
FLOHMARKT,"Markt fuer gebrauchte Saechchen"
MOEBELPACKER,"Person die Moebel transportiert"
TENNIS,"Schlaeger und Netz"
GOLF,"Loch und grüner Platz"
SPORT,"Bewegung und Wettkampf"
RENNEN,"schnell zu Fuß"
SCHWIMMEN,"Wasser und Bahn"
JOGGEN,"langsames Laufen"
RADFAHREN,"Pedale treten"
BOXEN,"Faeuste und Ring"
YOGA,"Dehnung und Entspannung"
LAUFEN,"schnelle Beine"
SPRINGEN,"nach oben gehen"
WERFEN,"Kraft mit Armen"
FANGEN,"mit Haenden greifen"
HOCKEY,"Stock und Scheibe"
EISHOCKEY,"Eis und schnell"
VOLLEYBALL,"Netz und springen"
FUSSBALL,"runder Ball"
BASKETBALL,"Korb und hoch"
HANDBALLSPIEL,"Tor werfen"
SKATEN,"schnell rollen"
SKIFAHREN,"Berg hinunter"
SNOWBOARD,"Brett und Schnee"
EISLAUFEN,"glatt und gleiten"
REITEN,"auf Pferd sitzen"
KLETTERN,"hoch und steil"
TAUCHEN,"unter Wasser"
SURFEN,"Welle und Brett"
SEGELN,"Wind und Boot"
RUDERN,"Wasser und Kraft"
TRAINIEREN,"Moeskeln staerken"
DEHNEN,"flexibel machen"
STAERKE,"Muskel Kraft"
AUSDAUER,"lange durchhalten"
TEMPO,"schnelle Geschwindigkeit"
BEWEGLICHKEIT,"flexibel sein"
KONDITION,"Fitness Niveau"
TRAINER,"lehrt Sportler"
COACH,"leitet Team"
ATHLETISCH,"sportlich und fit"
MUSKEL,"Kraft Gewebe"
SEHNE,"verbindet Knochen"
KNOCHENGERIP,"Staette Struktur"
HERZ,"pumpt Blut"
PULS,"Herzschlag zaehlen"
ATEM,"Lunge Luft"
ATEMZUG,"tiefe Inhalation"
SCHWEISS,"traene bei Sport"
BEMUEHUNG,"intensive Anstrengung"
KRAFT,"Staerke haben"
ENERGIE,"Antrieb zum Handeln"
ERHOLUNG,"Pause nehmen"
REGENERATION,"wieder Kraft bekommen"
ERMUEDUNG,"muede sein"
ENTKRAEFTUNG,"sehr erschoepft"
WETTBEWERB,"konkurrieren miteinander"
SIEGER,"gewinnt Wettkampf"
ZWEITER,"nach Sieger"
VERLIERER,"gewinnt nicht"
MEISTERSCHAFT,"hoechste Titel"
TURNIER,"viele Spiele"
MEDAL,"Gold silber Bronze"
PODIUM,"drei Plaetze"
REKORD,"bestes Ergebnis"
SIEG,"gewinnen Kampf"
NIEDERLAGE,"nicht gewinnen"
PUNKT,"zaehlen beim Spiel"
TORTOR,"Ball ins Netz"
SCHUSS,"Ball mit Kraft"
KICK,"Bein Ball treffen"
DRIBBLING,"Ball kontrollieren"
STOPP,"Ball halten"
RUECKSPIELER,"verteidigt hinten"
FELDSPIELER,"in Mitte spielen"
TORHUETER,"schuetzt Tor"
SCHIEDSRICHTER,"ueberwacht Regeln"
FAHNE,"zeigt Foul"
PFEIFE,"macht Laut"
REGEL,"Spielregel wichtig"
FOUL,"Fehler beim Spielen"
ELFMETER,"Strafe Tor"
VERLETZUNG,"Schmerz beim Sport"
TRITTE,"Schuh Sportart"
SCHUTZKLEIDUNG,"Ruestung Sicherheit"
BAENDEL,"haelt Band fest"
STIRNBAND,"Schweis Stirn"
TRINKFLASCHE,"Wasser unterwegs"
TRAININGSSTUECK,"Uebung Fitness"
ROUTINE,"gewohnt trainieren"
WIEDERHOLUNG,"mehrmals machen"
DURCHTRAINING,"jeden Tag trainieren"
LEHRER,"Unterrichtet in der Schule"
KOCH,"Bereitet Essen in der Kueche zu"
BAU,"Handwerker errichten Gebaeude"
PILOT,"Steuert ein Flugzeug"
POLIZIST,"Sorgt fuer Sicherheit und Ordnung"
FAHRER,"Lenkt ein Fahrzeug"
HANDWERK,"Handwerkliche Fertigkeit und Geschick"
KUNSTHANDWERKER,"Erschafft nuetzliche Kunstwerke"
BUCHHALTER,"Verwaltet finanzielle Aufzeichnungen"
BIBLIOTHEKAR,"Betreut Buecher und Archive"
FOTOGRAF,"Haelt Momente mit Kamera fest"
JOURNALIST,"Berichtet fuer Zeitung oder Radio"
ANWALT,"Vertritt im Gericht"
RICHTER,"Faellt Urteile vor Gericht"
ZAHNARZT,"Behandelt Zaehne und Zahnfleisch"
CHIRURG,"Operiert und heilt durch Schnitt"
APOTHEKER,"Verkauft Medikamente und Heilmittel"
TIERARZT,"Heilt erkrankte Tiere"
PFLEGER,"Kuemmert sich um Patienten"
PRUEFLING,"Wird im Examen getestet"
MEISTER,"Ausbilder im Handwerk"
AUSZUBILDENDER,"Lernt einen Beruf"
MAURER,"Setzt Steine und Moertel"
ELEKTRIKER,"Installiert Stromleitungen"
KLEMPNER,"Repariert Rohre und Rohrsysteme"
DACHDECKEL,"Belegt Hausdaecher mit Material"
ZIMMERER,"Arbeitet mit Holz und Balken"
GLASER,"Fertigt und setzt Glasscheiben"
METZGER,"Verarbeitet Fleisch"
BAECKER,"Backt Brot und Gebaeck"
GEMUSEHAENDLER,"Verkauft frisches Gemuese"
FLORIST,"Arrangiert Blumenstraeusse"
FRISEUR,"Schneidet und stylt Haare"
SCHOENHEITSSPEZIALIST,"Pflegefachmann fuer Kosmetik"
KOSMETIKERIN,"Versch​oernert Gesicht und Haende"
SCHNEIDER,"Naehert und repariert Kleider"
SCHUSTER,"Fertigt und repariert Schuhe"
HUTMACHER,"Kreiert und anfertigt Huete"
GOLDSMITH,"Formt Schmuck aus Edelmetallen"
SCHMIED,"Arbeitet mit Feuer und Metall"
KUPFERARBEITER,"Bearbeitet Kupfermetall"
STEINMETZ,"Bearbeitet und schneidet Stein"
TISCHLER,"Fertigt Moebel aus Holz"
GLASEIER,"Verziert Keramik mit Glasur"
TOEPFER,"Formt Gefaesse aus Ton"
WEBER,"Webt Stoffe auf Webstuehlen"
FAERBER,"Faerbt Stoffe und Materialien"
GERBEREI,"Behandelt Leder fuer Verwendung"
SAETTLER,"Polstert Moebel und Sitze"
SPOELER,"Reinigt Geschirr in Kueche"
KELLNER,"Bedient Gaeste im Restaurant"
BARKEEPER,"Mixt Getraenke an der Theke"
REZEPTIONIST,"Empfaengt Besucher und Gaeste"
PORTIER,"Oeffnet Tueren im Hotel"
CHAUFFEUR,"Faehrt Gast in Auto"
TAXIFAHRER,"Befoerdert Fahrgaeste gegen Gebuehl"
BUSFAHRER,"Lenkt oeffentliches Verkehrsmittel"
LOKOMOTIVFUEHRER,"Steuert Eisenbahn"
SCHAFFNER,"Kontrolliert Fahrkarten"
ZUGBEGLEITER,"Betreut Reisende im Zug"
MATROSE,"Arbeitet auf einem Schiff"
SEEMANN,"Faehrt auf hoher See"
KAPITAEN,"Kommandiert ein Schiff"
HAFENARBEITER,"Ladet Schiffe ab und auf"
STEWARD,"Bedient Fluggaeste"
STEWARDESS,"Betreut Passagiere im Flugzeug"
FLUGLOTSE,"Lenkt Flugverkehr vom Boden"
FLUGZEUGMECHANIKER,"Wartet und repariert Flugzeuge"
LOKOMOTIVHEIZER,"Heizt Dampflokomotive"
SIGNALWART,"Regelt Bahnuebergaenge"
WEICHENSTELLER,"Aendert Bahngleise"
EISENBAHNARBEITER,"Instand haelt Schienen"
STRASSENREINIGER,"Saeubert oeffentliche Wege"
KANALIERER,"Verlegt unterirdische Rohre"
GASINSTALLATEUR,"Montiert Gasleitungen"
WASSERLEITUNGSBAUER,"Verlegt Wasserleitungen"
TELEKOMMUNIKATIONSTECHNIKER,"Installiert Kommunikationskabel"
SOLARINSTALLATEUR,"Montiert Solaranlagen"
HEIZUNGSINSTALLATEUR,"Baut Heizungssysteme"
KLIAMTECHNIKER,"Installiert Kuehlsysteme"
MECHANIKER,"Repariert und wartet Fahrzeuge"
LACKIERER,"Sprayt Lackschichten auf"
AUTOSATTLER,"Polstert Autositze"
DETEKTIV,"Loest Faelle und Verbrechen"
SICHERHEITSBEAMTER,"Bewacht Gebauede und Personal"
SOLDAT,"Diener des Staates in uniform"
OFFIZIER,"Militar Rang mit Kommando"
OBERST,"Hoher Militaerrang"
GENERAL,"Hoechster Militaerrang"
MARINEFLIEGER,"Pilot bei der Marine"
UHRZEIT,"Was die Uhr zeigt"
JANUAR,"Neues Jahr beginnt"
FEBRUAR,"Kürzester Monat"
MAERZ,"Frühjahr startet"
APRIL,"Mit Regen und Blüten"
MAI,"Wonnemonat genannt"
JUNI,"Sommer kommt"
JULI,"Urlaubsmonat für viele"
AUGUST,"Nach dem siebten Monat"
SEPTEMBER,"Schule beginnt wieder"
OKTOBER,"Oktoberfest gefeiert"
NOVEMBER,"Vor dem letzten Monat"
DEZEMBER,"Weihnachtszeit"
MONTAG,"Nach dem Wochenende"
DIENSTAG,"Dritter Wochentag"
MITTWOCH,"Wochenmitte"
DONNERSTAG,"Vor Freitag"
FREITAG,"Wochenende naht"
SAMSTAG,"Viele arbeiten nicht"
SONNTAG,"Kirchgang traditionell"
DAWN,"Tagesanbruch englisch"
AERA,"Zeitliche Periode"
ZEITALTER,"Große Zeitspanne"
GESCHICHTE,"Vergangenes erzählt"
PENDEL,"Schwingt regelmäßig"
SANDUHR,"Misst Zeit mit Sand"
ZIFFERBLATT,"Uhr hat dieses"
ZEIGER,"Zeigt Stunden und Minuten"
GLOCKE,"Schlägt Stunden"
CHIME,"Glocken erklingen"
ALARM,"Weckt dich auf"
TIMER,"Zählt Sekunden runter"
STOPPUHR,"Misst kurze Zeiten"
CHRONOMETER,"Präzise Zeitmessung"
WECKER,"Klingelt morgens"
SCHLAG,"Glocke erklingt"
TICK,"Uhr macht Geräusch"
TACK,"Nach dem Tick"
ZEICHEN,"Uhr zeigt es"
RUNDE,"Beginnt von Neuem"
JAHRESZEIT,"Vier pro Jahr"
NEUJAHR,"Beginn des Jahres"
GEBURTSTAG,"Eigener Feiertag"
ANNIVERSARY,"Jahr um Jahr"
JUBILAEUM,"Runder Geburtstag"
SILVESTER,"Letzte Nacht des Jahres"
DAEMMERUNG,"Uebergang zwischen hell und dunkel"
MONDPHASE,"Wechselt monatlich"
NEUMOND,"Mond ist unsichtbar"
VOLLMOND,"Mond ist rund"
HALBMOND,"Mond zur Hälfte"
MOENDCHEN,"Kleine Mondsichel"
STERN,"Funkelt nachts"
KOMET,"Mit langem Schweif"
PLANET,"Orbitet die Sonne"
EKLIPTIK,"Sonnenbahn am Himmel"
JAHRESZYKLUS,"Wiederkehrend jährlich"
MONATSZYKLUS,"Mondumlauf"
WOCHENZYKLUS,"Sieben Tage Muster"
RHYTHMIK,"Regelmäßige Abfolge"
PERIODIZITAET,"Immer wiederkehrend"
RUHE,"Nach Aktivität"
MUESSIGGANG,"Nichtstun genießen"
ALLTAG,"Normale Wochentage"
WERKTAG,"Arbeitstag"
BRAUCHTAG,"Besonderer Feiertag"
FESTTAG,"Besonderheit feiert"
GEDENKTAG,"Erinnert an Ereignis"
GELEGENHEIT,"Passender Zeitpunkt"
GUNST,"Günstige Stunde"
SCHNEE,"weißer Winter"
FROST,"Eis bildet sich"
HAGEL,"eisige Körner"
BLITZ,"Licht im Sturm"
DONNER,"Laut beim Blitz"
NEBEL,"graue Luft"
FEUER,"heiß und hell"
BEET,"Blumen wachsen"
AST,"Baum hat Äste"
DORN,"spitz und scharf"
MOOSARTEN,"auf feuchtem Stein"
LAUB,"Herbst fällt"
STENGEL,"Pflanze hat"
SCHOTTER,"kleine Steine"
QUELL,"Wasser entspringt"
BUECHEL,"Blütenstand"
KELCH,"Blüte umhüllt"
BLÜTE,"Pflanze öffnet"
POLLEN,"gelbes Staub"
KEIME,"Pflanzen wachsen"
SPROSS,"neuer Trieb"
HALM,"Gras ist"
HAIN,"kleiner Wald"
SCHLUND,"tiefe Öffnung"
SPALTE,"Erde reißt"
STAUB,"feines Pulver"
LEHM,"Erde klebt"
TORF,"moorig weich"
SILT,"feinster Schlamm"
MINERAL,"Stein enthält"
EISEN,"Metall rostet"
GLIMMER,"Gestein glänzt"
QUARZ,"Kristall hart"
SCHIEFER,"dünn spaltet"
BASALT,"dunkel vulkanisch"
OPAL,"bunt schimmert"
RUBY,"rot wertvoll"
SAPHIR,"blau kostbar"
DIAMANT,"hart glänzt"
JADE,"grün wertvoll"
TURMALIN,"mehrfarbig"
TOPAS,"gelb brillant"
GASART,"in Atmosphäre"
STICKSTOFF,"Luft enthält"
SAUERSTOFF,"zum Atmen"
KOHLENDIOXID,"Pflanze braucht"
WASSERDAMPF,"Dampf aufsteigt"
OZON,"Schutzschicht"
ARKTON,"nördliches Ende"
ÄQUATOR,"Erde teilt"
GEMÄSSIGT,"moderate Zone"
WETTER,"morgen scheint"
TEMPERATUR,"Grad warm"
FEUCHTE,"Luft nass"
DRUCK,"Atmosphäre drückt"
DRIFT,"Eis bewegt"
STRÖMUNG,"Wasser fließt"
WELLE,"Wasser bewegt"
GEZEITEN,"Mond wirkt"
EBBE,"Wasser sinkt"
FLUT,"Wasser steigt"
MÜNDUNG,"Fluss endet"
